,2017,2018,2019
Spencer,42226,43836,46393
Starke,33878,34989,35648
Steuben,41269,43443,44854
Sullivan,34202,35726,36863
Switzerland,29165,31144,32174
Tippecanoe,37018,38994,39525
Tipton,44276,46665,47392
Union,37158,39548,40659
Vanderburgh,44038,45548,47233
Vermillion,37115,37433,38633
Vigo,37386,38187,39432
Wabash,40699,42536,43955
Warren,41501,44494,45202
Warrick,54359,56561,58539
Washington,36517,38743,39759
Wayne,39727,41469,42857
Wells,40514,42197,42857
White,40705,43508,44008
Whitley,42942,45268,46555
,,,
Iowa,47662,50175,51865
Adair,49169,52817,55251
Adams,60079,61015,66683
Allamakee,44833,46819,49945
Appanoose,37559,38598,40000
Audubon,47043,52532,58359
Benton,51600,53354,55520
Black Hawk,42447,45355,46326
Boone,45668,47952,49794
Bremer,47241,49512,50810
Buchanan,45814,48853,50823
Buena Vista,43212,47516,48394
Butler,44117,47199,49509
Calhoun,46453,50342,54273
Carroll,51910,55934,58482
Cass,45327,48117,50153
Cedar,51493,54466,56419
Cerro Gordo,50006,52147,54253
Cherokee,56364,61975,65727
Chickasaw,54777,59156,62483
Clarke,39565,42122,42031
Clay,47630,51957,54270
Clayton,48002,49371,51982
Clinton,42508,44486,46466
Crawford,39857,42192,45817
Dallas,64283,67453,68246
Davis,35833,39244,40289
Decatur,32933,35143,36494
Delaware,49311,52048,54823
Des Moines,48314,49534,50725
Dickinson,57041,60350,62364
Dubuque,46620,50120,51525
Emmet,41433,45979,48926
Fayette,42111,45061,46621
Floyd,45244,47557,50203
Franklin,46218,49651,53241
Fremont,44168,44615,50441
Greene,46187,49314,53039
Grundy,50068,52659,55017
Guthrie,49597,53231,54843
Hamilton,50060,55807,58399
Hancock,51322,54845,57702
Hardin,47562,50499,52844
Harrison,43166,45533,49085
Henry,41249,43652,44932
Howard,45838,50151,53184
Humboldt,47352,50020,52742
Ida,49172,52687,56128
Iowa,52105,54451,56382
Jackson,43383,44778,47052
Jasper,41039,42431,43987
Jefferson,38622,40548,41936
Johnson,50702,54102,54917
Jones,42718,44066,45927
Keokuk,43211,45664,48084
Kossuth,50322,53647,56902
Lee,39797,41784,43430
Linn,50601,52887,53533
Louisa,40323,43311,46211
Lucas,39649,41677,43061
Lyon,57584,62417,66756
Madison,47285,49362,50460
Mahaska,40324,44545,46516
Marion,45910,48738,50862
Marshall,40863,42803,44589
Mills,51060,55225,57897
Mitchell,57032,64263,69700
Monona,44424,45986,50103
Monroe,40563,43520,46356
Montgomery,39143,42062,44918
Muscatine,45434,46917,48563
'O''Brien',53663,57630,61246
Osceola,51606,56668,61277
Page,40038,41713,44442
Palo Alto,50990,55523,58989
Plymouth,53482,57357,60040
Pocahontas,48466,56505,61992
Polk,51348,52770,53859
Pottawattamie,42750,45077,47150
Poweshiek,43497,46133,47199
Ringgold,43519,46627,50405
Sac,52513,56496,59085
Scott,52227,54167,55758
Shelby,49916,52869,56323
Sioux,52058,56477,58585
Story,40208,42652,43643
Tama,43494,46137,48923
Taylor,40452,41911,45093
Union,38441,40982,42530
Van Buren,38721,41272,42908
Wapello,37548,38754,40344
Warren,49151,50495,51776
Washington,54532,59590,62145
Wayne,39741,42989,44614
Webster,43551,45932,48588
Winnebago,41146,43730,45793
Winneshiek,46617,49399,51904
Woodbury,41680,43526,45132
Worth,40726,41474,44675
Wright,49017,54438,55258
,,,
Kansas,48883,51261,53426
Allen,37513,39762,43163
Anderson,37679,38609,42046
Atchison,36488,38083,40335
Barber,39730,43843,48489
Barton,45205,46210,49460
Bourbon,40950,45087,46149
Brown,42047,45750,47930
Butler,43770,46109,48216
Chase,45897,52086,53882
Chautauqua,38367,40668,43327
Cherokee,37352,40941,42872
Cheyenne,41255,47393,54890
Clark,55513,60746,64457
Clay,40130,42603,46888
Cloud,35544,38732,41892
Coffey,48860,53008,55119
Comanche,37642,43660,46878
Cowley,36499,37968,40042
Crawford,36446,38253,39788
Decatur,42156,43544,50635
Dickinson,38991,41247,44101
Doniphan,38189,39378,44486
Douglas,41866,43939,45163
Edwards,53700,56221,62707
Elk,36846,39323,41529
Ellis,43455,45980,47758
Ellsworth,40558,44043,48380
Finney,41456,44357,46823
Ford,37462,39219,41373
Franklin,40722,42671,44472
Geary,46935,49004,51410
Gove,55758,58545,66403
Graham,44923,49676,56940
Grant,43050,48845,54892
Gray,64148,67148,75961
Greeley,72271,76059,98916
Greenwood,40047,41446,44689
Hamilton,49725,56042,69339
Harper,43487,47514,54894
Harvey,39767,42185,44416
Haskell,65051,64299,77955
Hodgeman,52037,57731,65688
Jackson,39821,41728,43447
Jefferson,42702,44670,46234
Jewell,44348,50595,57690
Johnson,70956,74467,76206
Kearny,49005,51236,59187
Kingman,41172,43615,48512
Kiowa,40921,42873,47726
Labette,40474,42426,44760
Lane,66295,72131,85007
Leavenworth,41229,42625,44075
Lincoln,37541,42741,48445
Linn,36878,38465,41013
Logan,43399,46559,53800
Lyon,36809,38525,39962
McPherson,47035,51688,56617
Marion,39237,42032,45681
Marshall,41439,43857,46580
Meade,53743,58221,66270
Miami,46594,48482,50210
Mitchell,49356,57285,62780
Montgomery,35249,37326,39041
Morris,41324,44719,46409
Morton,40827,44634,53296
Nemaha,50792,52600,53211
Neosho,37172,39139,41324
Ness,45899,51195,58901
Norton,42188,42287,47838
Osage,39138,41816,43460
Osborne,39910,48241,52889
Ottawa,39702,41831,45417
Pawnee,39014,40364,46226
Phillips,48220,50870,56113
Pottawatomie,50972,52828,55271
Pratt,44724,47842,53891
Rawlins,47211,51454,62147
Reno,39138,40109,42115
Republic,42606,44153,50019
Rice,41262,43323,47243
Riley,40752,41026,42528
Rooks,36200,40292,44398
Rush,41283,47027,52199
Russell,42449,44633,47049
Saline,47582,49366,50820
Scott,62849,63771,74223
Sedgwick,50424,52010,53577
Seward,36752,38719,41567
Shawnee,44493,46957,47991
Sheridan,48733,46140,62156
Sherman,41580,44450,46588
Smith,40859,45541,53381
Stafford,44379,47655,55629
Stanton,60183,62021,75841
Stevens,39531,42270,49540
Sumner,36933,38888,42524
Thomas,43879,47904,52540
Trego,43968,48675,53593
Wabaunsee,48735,50610,52706
Wallace,43735,53187,64805
Washington,41791,45872,52141
Wichita,68609,72465,86215
Wilson,41636,41871,44521
Woodson,34749,37911,42276
Wyandotte,32119,33407,34518
,,,
Kentucky,40904,42338,43770
Adair,30396,31481,32549
Allen,32114,32308,32881
Anderson,38165,39241,40581
Ballard,37115,36851,38711
Barren,35481,36302,37337
Bath,29842,30366,31327
Bell,28563,29801,30649
Boone,45705,47823,49778
Bourbon,47997,49066,51505
Boyd,37362,39503,40453
Boyle,36508,37747,38958
Bracken,35468,37039,38692
Breathitt,32708,33410,34232
Breckinridge,33293,33475,34418
Bullitt,39464,41143,42799
Butler,33450,34141,35121
Caldwell,33009,33458,35437
Calloway,34088,35107,35878
Campbell,46659,48546,50398
Carlisle,41001,39874,42991
Carroll,34170,36056,37806
Carter,30005,30645,31713
Casey,30082,30787,31688
Christian,37566,37944,39504
Clark,38661,39054,40413
Clay,29891,30532,31200
Clinton,30386,31444,31601
Crittenden,33497,34657,36354
Cumberland,33054,34369,36467
Daviess,40368,41517,42372
Edmonson,32088,32725,34037
Elliott,21782,22294,22828
Estill,30915,31956,32928
Fayette,47857,50106,51707
Fleming,32946,33913,34732
Floyd,35569,36099,37133
Franklin,40616,41934,43271
Fulton,33209,33357,35240
Gallatin,31393,32579,33697
Garrard,33547,34365,35251
Grant,34704,35649,37083
Graves,36835,37727,38485
Grayson,32394,33187,34450
Green,34161,34247,34997
Greenup,38704,41411,42516
Hancock,35138,37352,38722
Hardin,41980,42646,44244
Harlan,29664,30898,31824
Harrison,34029,34970,36545
Hart,31212,32818,33648
Henderson,38580,39474,41279
Henry,36716,37745,39175
Hickman,42185,43107,42635
Hopkins,38932,38811,40317
Jackson,27953,28818,29848
Jefferson,49726,52405,54155
Jessamine,43664,44841,46250
Johnson,31883,32967,34356
Kenton,55029,56491,58349
Knott,29111,30403,31929
Knox,28654,29195,30105
Larue,35396,36539,38316
Laurel,32960,33763,34289
Lawrence,30323,31614,33213
Lee,30870,29636,29162
Leslie,31547,32536,34079
Letcher,29392,30541,31871
Lewis,29977,31003,32147
Lincoln,30967,31667,32881
Livingston,36178,36714,38515
Logan,34583,35335,36834
Lyon,34132,35804,37276
McCracken,46391,47034,49087
McCreary,25035,25857,26600
McLean,39729,39770,39163
Madison,34574,35271,36331
Magoffin,29717,31262,32995
Marion,35000,36089,37340
Marshall,39363,40532,42342
Martin,29100,29447,29905
Mason,39037,39749,41350
Meade,38572,39348,40942
Menifee,29510,30253,31681
Mercer,36217,36784,37806
Metcalfe,30067,30880,31848
Monroe,36017,36614,36837
Montgomery,34007,34573,35915
Morgan,26435,26854,27978
Muhlenberg,33532,33511,35138
Nelson,40746,42184,43809
Nicholas,33932,33848,34856
Ohio,32293,32833,33313
Oldham,59734,63982,66238
Owen,32575,33136,33365
Owsley,30783,31322,32461
Pendleton,44143,43466,45039
Perry,36739,37737,39308
Pike,35155,36448,37490
Powell,31131,31629,32532
Pulaski,35459,36919,38492
Robertson,32462,32903,34196
Rockcastle,30428,31079,32294
Rowan,29634,30813,31566
Russell,33145,36193,37346
Scott,42019,42887,44335
Shelby,43906,45173,46657
Simpson,37413,37755,39235
Spencer,42162,43573,45208
Taylor,33894,34428,35546
Todd,37263,36698,38112
Trigg,36348,36120,37633
Trimble,35821,37856,39400
Union,33233,34185,36348
Warren,36803,37337,38268
Washington,36730,37314,38210
Wayne,27676,28633,28935
Webster,39176,39046,39965
Whitley,32491,33654,34663
Wolfe,30407,30967,31658
Woodford,50657,51443,53292
,,,
Louisiana,43932,46207,47460
Acadia,35161,37060,37786
Allen,31584,33501,34644
Ascension,47863,49403,50671
Assumption,43542,46833,47947
Avoyelles,35933,37864,39001
Beauregard,41134,42318,43473
Bienville,35726,38430,39111
Bossier,41722,43950,45110
Caddo,45544,49242,50690
Calcasieu,46175,48570,49664
Caldwell,32350,33790,35353
Cameron,46624,47875,49000
Catahoula,31790,33047,35037
Claiborne,32926,34084,34954
Concordia,31680,32606,34110
De Soto,38668,41300,42298
East Baton Rouge,48806,51621,53002
East Carroll,34943,35274,36035
East Feliciana,39391,41089,42353
Evangeline,32118,33074,33474
Franklin,31160,31968,33250
Grant,30593,30987,31890
Iberia,37321,39148,40403
Iberville,39328,40943,42418
Jackson,32857,33871,34843
Jefferson,48737,50895,52274
Jefferson Davis,39716,41591,42519
Lafayette,47603,48707,49629
Lafourche,44034,44316,45806
LaSalle,29772,31898,33992
Lincoln,38646,40108,40541
Livingston,39328,41147,42217
Madison,31399,31945,33275
Morehouse,37003,37884,39521
Natchitoches,37829,40175,41846
Orleans,49857,52516,53923
Ouachita,39136,41341,42398
Plaquemines,47090,47895,49507
Pointe Coupee,43209,45710,47083
Rapides,42805,45085,46614
Red River,39070,44810,44440
Richland,35628,37565,39080
Sabine,33583,35591,36025
St. Bernard,31433,32454,33556
St. Charles,47371,48436,49660
St. Helena,39867,41786,43338
St. James,45916,50953,52567
St. John the Baptist,38941,40036,41368
St. Landry,38987,40598,41922
St. Martin,35693,38034,39053
St. Mary,37318,39580,40746
St. Tammany,58810,64548,65938
Tangipahoa,36810,37713,38800
Tensas,38482,39132,41323
Terrebonne,39511,41058,42267
Union,37802,40469,40441
Vermilion,37091,39241,40237
Vernon,39286,41452,42755
Washington,32105,33348,34744
Webster,37998,39624,40860
West Baton Rouge,45694,46991,48144
West Carroll,33156,35267,33073
West Feliciana,36422,38036,38926
Winn,34374,36254,37988
,,,
Maine,46565,48792,50634
Androscoggin,39734,41375,42968
Aroostook,39927,41576,43189
Cumberland,59349,62794,64948
Franklin,36868,38690,40189
Hancock,48715,50655,52294
Kennebec,42985,44804,46958
Knox,49624,50340,51959
Lincoln,48636,50215,51687
Oxford,36222,37879,39240
Penobscot,39791,41615,43136
Piscataquis,36568,38629,39614
Sagadahoc,48630,50787,52736
Somerset,36702,37752,39282
Waldo,38841,41427,43793
Washington,38551,39854,41094
York,49672,52186,54225
,,,
Maryland,60758,62708,64640
Allegany,38990,39985,41454
Anne Arundel,64723,67078,69035
Baltimore,58887,61139,62976
Calvert,60067,61949,63976
Caroline,44791,45687,46883
Carroll,60587,62200,64288
Cecil,45956,47796,49749
Charles,54932,56119,57774
Dorchester,44712,45935,47699
Frederick,59713,62307,64147
Garrett,43735,45769,47735
Harford,56589,58440,60266
Howard,75293,77039,79253
Kent,58905,61202,63141
Montgomery,85988,87654,90139
'Prince George''s',47347,49105,50625
'Queen Anne''s',62689,64502,66733
'St. Mary''s',54546,56815,58582
Somerset,31313,31486,31668
Talbot,70023,72554,74711
Washington,45242,46971,48650
Wicomico,41287,41626,42547
Worcester,58475,59025,60222
Baltimore City,49083,51577,53378
,,,
Massachusetts,68442,71801,74187
Barnstable,71080,74714,77435
Berkshire,54396,56651,58299
Bristol,51780,53853,55718
Dukes,89602,97659,100996
Essex,64629,67646,69981
Franklin,52821,54817,56793
Hampden,49631,51736,53248
Hampshire,51065,52910,54867
Middlesex,79970,84367,87192
Nantucket,119211,132886,136204
Norfolk,87928,92248,95221
Plymouth,64417,67270,69669
Suffolk,76782,81300,83490
Worcester,54599,56507,58563
,,,
Michigan,45948,47777,49228
Alcona,36730,38702,41049
Alger,31953,33442,34233
Allegan,42466,44686,45937
Alpena,39529,40278,41783
Antrim,44559,46225,47855
Arenac,36047,37780,39009
Baraga,31504,32448,34044
Barry,42710,44408,45804
Bay,40130,42367,43657
Benzie,41268,42795,44283
Berrien,45376,47461,48237
Branch,35214,36437,37202
Calhoun,38408,39160,40257
Cass,42932,44675,45409
Charlevoix,49398,52284,53136
Cheboygan,37777,38838,40405
Chippewa,32436,33733,35034
Clare,32902,33846,34637
Clinton,44185,45797,47411
Crawford,32337,34290,35407
Delta,38313,39680,41210
Dickinson,46271,48520,49179
Eaton,40659,42089,43365
Emmet,53960,56242,58528
Genesee,39198,40618,41929
Gladwin,35432,36519,37512
Gogebic,37204,39790,44113
Grand Traverse,48085,49987,51619
Gratiot,35631,36816,38274
Hillsdale,34043,35221,36033
Houghton,35594,37519,39124
Huron,44192,45505,47909
Ingham,38630,40109,41286
Ionia,32969,34751,35518
Iosco,35945,37429,39832
Iron,42733,43968,45463
Isabella,33433,34740,36356
Jackson,37821,39173,40387
Kalamazoo,46373,48279,49493
Kalkaska,33272,34500,35387
Kent,50698,52313,53664
Keweenaw,45194,46997,47963
Lake,30009,31925,33368
Lapeer,41620,43292,44706
Leelanau,62660,66260,68281
Lenawee,37773,39529,40932
Livingston,55541,57180,58879
Luce,29960,31063,32174
Mackinac,41819,43414,45138
Macomb,44439,46079,47487
Manistee,36631,38151,39389
Marquette,38166,39683,40772
Mason,39076,40308,41488
Mecosta,32444,33244,34090
Menominee,41104,42717,44114
Midland,57548,54371,55972
Missaukee,34084,34565,36922
Monroe,45252,46881,48581
Montcalm,33218,34261,35537
Montmorency,35379,36747,38079
Muskegon,36971,38289,39637
Newaygo,36698,36954,38429
Oakland,68745,71347,73271
Oceana,35909,37398,38856
Ogemaw,33141,35038,34770
Ontonagon,37900,39348,41363
Osceola,34038,35793,37636
Oscoda,32283,33390,34549
Otsego,38551,40310,41925
Ottawa,46685,48142,49345
Presque Isle,37597,39913,41560
Roscommon,35173,36681,37507
Saginaw,37203,39521,40533
St. Clair,42252,44056,45662
St. Joseph,37351,38099,38936
Sanilac,36453,37775,38917
Schoolcraft,38045,39657,41073
Shiawassee,37578,39107,40535
Tuscola,35885,37061,38676
Van Buren,39347,40656,41773
Washtenaw,56312,58823,60843
Wayne,40858,43088,44512
Wexford,34759,35727,37240
,,,
Minnesota,54960,57371,58834
Aitkin,37960,40077,41327
Anoka,49338,51069,52250
Becker,45876,47163,49190
Beltrami,39541,41237,42212
Benton,42669,44080,45458
Big Stone,52682,53692,55491
Blue Earth,42949,45255,46793
Brown,51339,53990,55904
Carlton,41181,42791,44391
Carver,68395,71268,72852
Cass,45617,46935,47981
Chippewa,47246,48600,51230
Chisago,46915,48662,50093
Clay,41291,42747,44023
Clearwater,41270,43879,44765
Cook,52194,53705,54964
Cottonwood,46073,48624,51543
Crow Wing,43598,44641,45685
Dakota,58202,60483,61914
Dodge,44314,46561,47665
Douglas,51127,52068,52691
Faribault,41389,42897,46941
Fillmore,44147,45269,47061
Freeborn,43780,45410,47356
Goodhue,51749,53871,55816
Grant,47512,47917,50366
Hennepin,71141,75113,76552
Houston,49508,51638,53446
Hubbard,41990,43732,45257
Isanti,42346,44497,45781
Itasca,41447,44449,46020
Jackson,51284,53289,57933
Kanabec,41006,41799,43416
Kandiyohi,52856,53338,54111
Kittson,50337,51430,50628
Koochiching,39176,42093,45054
Lac qui Parle,50445,51489,56527
Lake,46190,48302,49743
Lake of the Woods,55710,56575,57121
Le Sueur,47099,49117,50728
Lincoln,46952,46288,52251
Lyon,49703,51060,54108
McLeod,46452,48890,50380
Mahnomen,33832,35472,36427
Marshall,49164,51745,51545
Martin,49744,53238,57091
Meeker,43061,44686,46073
Mille Lacs,40201,41788,43058
Morrison,41155,42497,43703
Mower,45488,46432,47445
Murray,50027,52875,59183
Nicollet,47690,49290,51036
Nobles,44246,45533,49217
Norman,37528,39177,41584
Olmsted,55443,58233,59176
Otter Tail,46621,47871,49277
Pennington,52069,56401,57337
Pine,35718,36729,37971
Pipestone,54600,56301,61830
Polk,45136,46925,48513
Pope,49275,51198,52217
Ramsey,52464,54366,55583
Red Lake,47831,50479,50221
Redwood,48394,52019,54719
Renville,49918,51875,53855
Rice,42269,43706,45092
Rock,51604,53658,57617
Roseau,45917,49636,49328
St. Louis,44832,47058,48718
Scott,57440,60759,62164
Sherburne,45417,46660,47712
Sibley,45864,47316,49408
Stearns,45215,46789,47938
Steele,45398,46695,48580
Stevens,47075,47182,50696
Swift,49477,50906,52813
Todd,40722,42409,43979
Traverse,56439,57066,60535
Wabasha,46638,48370,50042
Wadena,38475,39802,40756
Waseca,43063,42587,44262
Washington,65049,67171,68525
Watonwan,43194,44878,48684
Wilkin,53545,55170,57087
Winona,47168,48070,49412
Wright,48370,50480,51609
Yellow Medicine,50790,53504,57881
,,,
Mississippi,36536,37852,38914
Adams,32213,34191,35563
Alcorn,34283,36147,36592
Amite,33223,34715,35151
Attala,32755,33071,34583
Benton,29301,30432,31411
Bolivar,37513,39061,39179
Calhoun,30815,32064,33450
Carroll,36887,38021,38497
Chickasaw,35350,35708,36994
Choctaw,31943,33117,34999
Claiborne,29909,30530,31501
Clarke,35668,37269,38735
Clay,35810,37201,39449
Coahoma,34385,35607,37070
Copiah,32077,32907,33932
Covington,35793,37165,36985
DeSoto,39221,41058,42007
Forrest,37299,38541,39450
Franklin,32842,33569,35353
George,31337,33060,33595
Greene,27519,27480,28617
Grenada,34567,35798,37067
Hancock,34153,35617,36533
Harrison,36208,37129,38140
Hinds,37558,38986,40279
Holmes,27661,28571,29976
Humphreys,32488,32755,34941
Issaquena,21353,24379,27430
Itawamba,33527,35085,36375
Jackson,36437,37311,38269
Jasper,37659,39528,39699
Jefferson,32035,34180,34860
Jefferson Davis,29780,30018,30429
Jones,36927,37786,38740
Kemper,27405,28927,30021
Lafayette,40518,42905,43820
Lamar,38868,39505,40207
Lauderdale,36598,37700,39359
Lawrence,33157,34651,34308
Leake,31354,32293,31441
Lee,40337,41302,42635
Leflore,36390,37692,38974
Lincoln,37274,38505,39441
Lowndes,37079,38786,40717
Madison,61692,64191,65746
Marion,32835,37605,38701
Marshall,31107,32876,34165
Monroe,33378,34865,36295
Montgomery,33397,34167,35910
Neshoba,35474,36244,36785
Newton,33832,34744,35563
Noxubee,31668,31885,34204
Oktibbeha,32726,34575,35457
Panola,31793,32948,33528
Pearl River,34733,36063,37178
Perry,31106,32329,33188
Pike,29994,30675,31536
Pontotoc,31733,32835,33932
Prentiss,29974,30305,31314
Quitman,27411,29250,30185
Rankin,43134,44170,45237
Scott,30789,31649,31585
Sharkey,34317,34090,34830
Simpson,35155,36439,36587
Smith,34204,35751,35445
Stone,30427,32685,33369
Sunflower,30184,30937,31846
Tallahatchie,29334,29877,30451
Tate,34011,35593,36836
Tippah,32618,33692,35061
Tishomingo,31703,33771,34871
Tunica,32097,32674,34325
Union,31115,31969,33027
Walthall,31499,31693,31910
Warren,38180,39727,41102
Washington,36118,37622,38942
Wayne,33798,34905,34961
Webster,37322,37744,39794
Wilkinson,28275,29212,30723
Winston,34238,35192,36414
Yalobusha,35393,37043,38478
Yazoo,27026,27089,27666
,,,
Missouri,45342,47109,48656
Adair,31689,32398,33351
Andrew,43416,43385,45594
Atchison,43705,39897,48160
Audrain,38270,37106,39118
Barry,33536,35085,35003
Barton,35151,34849,36035
Bates,37618,37782,40325
Benton,35229,37148,38536
Bollinger,31239,32269,33632
Boone,45796,46557,48525
Buchanan,38200,38780,40156
Butler,35266,35764,36606
Caldwell,36238,37191,38939
Callaway,36809,37255,39111
Camden,36764,37108,38352
Cape Girardeau,43895,45113,46754
Carroll,45104,43530,49468
Carter,31285,31658,33370
Cass,45204,46323,47907
Cedar,30213,30777,31208
Chariton,42700,42640,46156
Christian,38732,40251,41516
Clark,35994,34114,36842
Clay,46481,47574,48920
Clinton,40924,41513,43200
Cole,45671,46171,48273
Cooper,37660,38591,40212
Crawford,34351,35137,36242
Dade,32869,34000,35409
Dallas,32001,33023,34214
Daviess,32354,32784,35453
DeKalb,27215,28280,29649
Dent,32027,32810,34112
Douglas,26839,27484,29191
Dunklin,33665,35386,37291
Franklin,43030,44059,45672
Gasconade,38967,39238,40932
Gentry,40256,41309,44599
Greene,42809,44014,45476
Grundy,34678,34680,36146
Harrison,35031,35552,38154
Henry,41228,41203,42741
Hickory,27847,28569,29033
Holt,47524,45178,53880
Howard,38655,39047,41534
Howell,32674,33881,35261
Iron,32707,33710,34554
Jackson,44910,46449,47819
Jasper,38781,41171,42348
Jefferson,40583,41867,43259
Johnson,35522,36478,37615
Knox,33026,33150,37092
Laclede,35174,36235,37228
Lafayette,40775,41539,42819
Lawrence,33375,34105,34465
Lewis,33515,34632,37197
Lincoln,39052,39927,41082
Linn,38179,38936,40419
Livingston,37655,37974,39305
McDonald,28196,28560,28931
Macon,41614,41565,43173
Madison,35173,35853,37430
Maries,32011,32462,34965
Marion,39137,40290,41677
Mercer,32111,31985,34283
Miller,33857,35173,36501
Mississippi,31030,30667,33213
Moniteau,34935,35481,36675
Monroe,39642,39314,42136
Montgomery,39090,39505,41354
Morgan,39913,40800,40924
